127.0.0.1 - - [12/Oct/2023:13:52:11 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:52:13 +0530] "GET /PaymentDemo/Payment.jsp HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:52:13 +0530] "GET /PaymentDemo/images/card_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:52:13 +0530] "GET /PaymentDemo/css/payment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:52:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:53:50 +0530] "POST /PaymentDemo/pay HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:53:50 +0530] "GET /PaymentDemo/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:53:56 +0530] "GET /PaymentDemo/updatepayment.jsp?id=4&fullname=nimal+perera&email=Amal%40gmail.com&address=No+3%2f4+%2cdeqf&city=dede&province=dgsdg&zipcode=2345&nameoncard=gege&cardnumber=32523&validthrough=2%2f5&cvv=134 HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [12/Oct/2023:13:54:03 +0530] "GET /PaymentDemo/deletepayment.jsp?id=4&fullname=nimal+perera&email=Amal%40gmail.com&address=No+3%2f4+%2cdeqf&city=dede&province=dgsdg&zipcode=2345&nameoncard=gege&cardnumber=32523&validthrough=2%2f5&cvv=134 HTTP/1.1" 200 3418
